Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
LF,188,609,82,149,28,1,14,75,77,8,155,4,1,8,0,12,11,14,3,0.245,0.33,0.363,2011,NYN,0.6930000000000001
CF,181,638,86,167,36,7,11,72,59,5,109,1,7,5,0,9,8,38,7,0.262,0.323,0.392,2011,NYN,0.7150000000000001
RF,196,605,101,167,44,3,25,106,90,5,119,8,0,6,0,5,12,5,3,0.276,0.374,0.483,2011,NYN,0.857
C,189,542,41,118,22,0,5,48,43,10,109,6,7,3,0,6,15,0,0,0.218,0.281,0.286,2012,NYN,0.567
1B,185,593,82,139,29,0,35,97,68,3,152,4,0,3,0,2,14,2,3,0.234,0.316,0.46,2012,NYN,0.776
2B,198,656,67,189,50,3,8,79,39,4,97,1,0,4,0,12,17,11,4,0.288,0.327,0.41,2012,NYN,0.737
3B,171,614,95,188,45,3,22,97,81,16,119,4,0,5,0,5,14,15,10,0.306,0.388,0.497,2012,NYN,0.885
SS,177,643,78,175,36,1,3,37,47,1,111,7,4,2,0,13,17,4,4,0.272,0.328,0.345,2012,NYN,0.673
LF,222,607,68,135,26,3,22,80,45,1,172,2,3,3,0,9,5,11,1,0.222,0.277,0.384,2012,NYN,0.661
CF,201,596,78,147,25,9,13,59,68,2,157,4,3,3,2,10,10,15,9,0.247,0.326,0.384,2012,NYN,0.71
RF,208,601,75,147,26,1,20,67,63,1,155,9,0,4,0,2,13,9,7,0.245,0.323,0.391,2012,NYN,0.714
C,169,593,58,130,21,0,22,84,51,5,160,8,1,5,0,7,16,1,2,0.219,0.288,0.366,2013,NYN,0.6539999999999999
1B,187,582,77,136,33,0,15,59,102,8,171,7,0,3,0,3,14,8,3,0.234,0.353,0.368,2013,NYN,0.721
2B,179,689,91,195,40,5,15,81,33,2,100,2,0,5,0,4,12,18,3,0.283,0.316,0.421,2013,NYN,0.737
3B,181,634,81,184,35,6,20,80,71,6,130,6,1,4,0,6,15,17,4,0.29,0.365,0.459,2013,NYN,0.8240000000000001
SS,173,586,49,126,23,2,3,40,55,9,105,3,7,2,0,9,16,5,1,0.215,0.285,0.276,2013,NYN,0.5609999999999999
LF,199,639,83,155,32,5,14,51,75,3,137,6,8,2,0,5,6,38,8,0.243,0.327,0.374,2013,NYN,0.7010000000000001
CF,209,632,58,140,29,6,13,66,35,5,165,5,5,3,0,10,10,12,7,0.222,0.267,0.348,2013,NYN,0.615
RF,201,640,78,160,31,7,23,92,49,2,182,8,1,7,0,9,7,9,6,0.25,0.308,0.428,2013,NYN,0.736
C,175,603,67,136,31,3,20,74,47,5,134,3,3,3,0,7,20,2,1,0.226,0.284,0.386,2014,NYN,0.6699999999999999
1B,180,588,81,146,33,0,29,96,81,8,154,10,0,4,0,3,11,3,2,0.248,0.347,0.452,2014,NYN,0.7989999999999999
2B,167,662,91,193,40,4,15,73,48,3,109,0,1,5,0,7,19,13,5,0.292,0.337,0.432,2014,NYN,0.769
3B,170,658,62,173,36,1,8,69,45,5,141,6,0,6,0,6,25,9,5,0.263,0.313,0.357,2014,NYN,0.6699999999999999
SS,179,564,49,133,19,0,8,57,59,12,91,9,4,3,0,5,14,2,2,0.236,0.317,0.312,2014,NYN,0.629
LF,217,606,83,133,24,6,6,46,70,3,141,8,5,5,0,11,8,34,8,0.219,0.306,0.309,2014,NYN,0.615
CF,187,634,73,171,43,3,14,76,38,2,139,9,3,9,0,11,7,18,7,0.27,0.316,0.413,2014,NYN,0.729
RF,188,610,83,147,34,2,19,78,87,1,144,6,0,7,0,3,2,11,2,0.241,0.338,0.397,2014,NYN,0.7350000000000001
C,174,570,60,129,24,1,17,68,55,6,146,9,1,5,0,10,14,1,0,0.226,0.302,0.361,2015,NYN,0.663
1B,175,618,87,148,46,0,29,89,70,7,165,16,0,5,0,3,16,1,3,0.239,0.33,0.455,2015,NYN,0.785
2B,183,626,70,166,37,3,21,80,49,9,94,3,0,3,0,7,18,4,2,0.265,0.32,0.435,2015,NYN,0.755
3B,180,623,79,157,41,0,14,69,70,6,117,8,0,3,0,5,17,7,2,0.252,0.334,0.385,2015,NYN,0.7190000000000001
SS,185,606,70,155,24,0,15,62,41,5,92,5,4,3,0,11,16,1,2,0.256,0.307,0.37,2015,NYN,0.677
LF,226,624,90,154,35,2,29,83,52,2,157,5,1,2,0,10,16,4,3,0.247,0.309,0.449,2015,NYN,0.758
CF,199,651,78,173,30,8,17,77,26,3,136,9,1,4,0,7,12,11,5,0.266,0.301,0.415,2015,NYN,0.716
RF,181,638,102,167,40,3,28,73,86,2,163,9,0,4,0,5,3,9,6,0.262,0.355,0.466,2015,NYN,0.821
C,177,560,44,127,17,0,10,49,50,6,135,7,3,3,0,5,12,0,0,0.227,0.297,0.311,2016,NYN,0.608
1B,195,604,58,152,27,1,23,80,40,5,102,7,1,4,0,5,15,0,1,0.252,0.304,0.414,2016,NYN,0.718
2B,188,618,78,178,23,2,27,75,54,4,121,3,0,6,0,6,14,6,1,0.288,0.345,0.463,2016,NYN,0.808
3B,191,630,90,166,27,3,28,74,68,1,142,4,0,4,1,10,6,12,3,0.263,0.337,0.449,2016,NYN,0.786
SS,180,641,81,172,40,2,24,71,43,3,135,8,1,2,0,8,21,6,3,0.268,0.321,0.449,2016,NYN,0.77
LF,216,609,78,138,29,2,26,81,67,7,157,9,0,11,0,5,18,4,0,0.227,0.307,0.409,2016,NYN,0.716
CF,230,602,96,162,31,4,32,91,68,4,133,10,2,6,0,5,12,7,4,0.269,0.35,0.493,2016,NYN,0.843
RF,187,633,82,149,26,4,29,68,78,11,156,9,1,1,0,4,12,5,2,0.235,0.327,0.427,2016,NYN,0.754
C,177,590,63,148,29,1,27,91,43,8,123,6,0,4,0,6,16,1,1,0.251,0.306,0.441,2017,NYN,0.747
1B,184,607,72,147,40,0,34,88,66,4,157,7,0,4,0,4,16,1,1,0.242,0.322,0.476,2017,NYN,0.798
2B,183,624,83,159,28,3,19,72,66,3,113,8,2,5,0,7,14,6,4,0.255,0.331,0.401,2017,NYN,0.732
3B,195,639,75,172,38,3,16,76,42,2,108,5,2,9,0,6,20,6,3,0.269,0.315,0.413,2017,NYN,0.728
SS,180,633,85,163,28,9,21,64,47,1,120,7,4,2,0,8,11,22,7,0.258,0.315,0.43,2017,NYN,0.745
LF,181,626,108,176,39,5,36,100,82,9,162,10,0,5,0,9,11,2,1,0.281,0.371,0.532,2017,NYN,0.903
CF,201,623,94,157,40,4,25,65,71,2,162,7,3,3,0,3,11,9,4,0.252,0.334,0.449,2017,NYN,0.783
RF,180,637,95,158,31,2,33,101,67,1,164,3,0,3,0,7,10,7,2,0.248,0.321,0.458,2017,NYN,0.779
C,180,557,65,116,25,3,17,70,61,5,141,11,1,4,0,6,22,0,1,0.208,0.297,0.355,2018,NYN,0.6519999999999999
1B,186,629,57,152,34,0,21,84,52,5,114,5,0,10,0,4,12,0,1,0.242,0.3,0.396,2018,NYN,0.696
2B,184,668,89,188,36,7,23,85,43,0,113,5,4,2,0,7,14,7,1,0.281,0.329,0.46,2018,NYN,0.789
3B,185,602,72,126,23,1,19,71,73,2,147,11,1,9,0,9,14,10,5,0.209,0.302,0.346,2018,NYN,0.6479999999999999
SS,174,627,87,157,32,9,10,54,37,5,127,3,3,3,0,7,10,28,12,0.25,0.294,0.378,2018,NYN,0.6719999999999999
LF,186,622,91,162,37,6,35,101,76,5,201,11,0,4,0,8,10,8,4,0.26,0.349,0.508,2018,NYN,0.857
CF,182,600,74,140,22,3,13,51,89,6,193,13,0,4,0,7,12,6,9,0.233,0.343,0.345,2018,NYN,0.688
RF,185,607,87,141,36,4,19,74,86,4,177,10,0,1,0,7,8,7,2,0.232,0.337,0.399,2018,NYN,0.736
C,189,612,65,158,23,0,19,85,53,6,109,3,1,3,0,6,19,1,0,0.258,0.319,0.389,2019,NYN,0.708
1B,195,639,110,173,34,2,54,130,73,6,189,21,0,3,0,12,14,1,1,0.271,0.363,0.584,2019,NYN,0.947
2B,201,667,85,178,44,1,24,79,42,4,109,10,1,3,0,10,17,3,1,0.267,0.319,0.444,2019,NYN,0.763
3B,197,620,86,160,25,2,28,86,59,2,130,14,0,0,0,6,9,2,2,0.258,0.336,0.44,2019,NYN,0.776
SS,177,662,82,186,31,7,15,73,32,2,134,3,2,3,0,10,13,18,10,0.281,0.316,0.417,2019,NYN,0.733
LF,276,651,110,189,38,2,33,83,63,2,166,12,0,3,0,3,19,7,6,0.29,0.362,0.507,2019,NYN,0.869
CF,246,580,81,133,29,3,21,77,65,6,175,7,4,6,0,6,12,10,2,0.229,0.312,0.398,2019,NYN,0.71
RF,201,618,105,161,37,0,32,95,82,4,162,17,0,4,0,6,11,9,3,0.261,0.361,0.476,2019,NYN,0.837
C,187,557,43,117,17,2,10,50,37,3,165,7,0,3,0,10,18,1,2,0.21,0.267,0.302,2021,NYN,0.569
1B,173,604,88,157,29,3,36,98,59,6,138,16,0,4,0,10,18,3,0,0.26,0.34,0.497,2021,NYN,0.837
2B,188,588,73,149,26,1,18,64,46,3,116,14,0,0,0,7,18,8,5,0.253,0.323,0.393,2021,NYN,0.716
3B,193,577,74,142,24,1,21,54,73,3,179,7,2,2,0,11,9,12,5,0.246,0.337,0.4,2021,NYN,0.7370000000000001
SS,174,594,91,145,21,3,26,77,73,4,131,7,7,3,0,7,10,13,5,0.244,0.332,0.421,2021,NYN,0.753
LF,230,598,60,146,23,2,16,72,36,2,142,10,0,7,0,2,15,4,2,0.244,0.295,0.37,2021,NYN,0.665
CF,204,589,80,151,31,5,15,53,65,1,150,11,3,1,0,8,9,8,7,0.256,0.341,0.402,2021,NYN,0.7430000000000001
RF,186,557,68,124,28,1,21,74,67,2,154,16,0,2,0,2,15,2,0,0.223,0.322,0.39,2021,NYN,0.712
C,186,530,58,115,26,0,7,53,30,0,134,5,14,4,0,6,18,3,0,0.217,0.264,0.306,2022,NYN,0.5700000000000001
1B,190,609,86,158,26,0,35,122,63,11,134,14,0,9,0,4,17,5,1,0.259,0.338,0.475,2022,NYN,0.813
2B,182,587,74,183,40,0,8,51,52,1,78,10,1,5,0,2,16,4,0,0.312,0.375,0.421,2022,NYN,0.796
3B,182,603,71,142,25,5,22,75,48,3,149,3,0,6,1,4,7,0,2,0.235,0.292,0.403,2022,NYN,0.6950000000000001
SS,178,641,97,171,25,5,25,107,63,2,136,9,0,7,0,10,11,16,5,0.267,0.338,0.438,2022,NYN,0.776
LF,204,590,82,162,34,2,19,85,55,1,113,26,0,4,0,10,4,6,1,0.275,0.36,0.436,2022,NYN,0.796
CF,183,640,117,180,31,7,18,74,76,0,125,20,4,3,0,8,9,4,2,0.281,0.373,0.436,2022,NYN,0.8089999999999999
RF,187,643,97,174,31,6,19,77,40,1,143,18,0,0,0,7,23,18,9,0.271,0.331,0.426,2022,NYN,0.757
DH,207,563,69,125,31,2,17,81,69,6,177,7,0,6,0,4,14,0,2,0.222,0.312,0.375,2022,NYN,0.687
C,182,546,67,116,18,0,25,68,46,0,144,6,3,6,0,2,16,2,0,0.212,0.278,0.383,2023,NYN,0.661
1B,168,598,92,132,25,2,46,117,64,6,157,20,0,4,0,7,16,5,1,0.221,0.315,0.5,2023,NYN,0.815
2B,189,593,69,151,27,2,8,52,40,0,107,6,3,2,0,5,11,13,0,0.255,0.307,0.347,2023,NYN,0.6539999999999999
3B,195,571,62,121,18,2,14,54,41,0,167,2,4,2,3,13,13,6,0,0.212,0.266,0.324,2023,NYN,0.5900000000000001
SS,176,615,110,157,35,2,32,101,69,2,142,11,0,7,0,2,7,31,4,0.255,0.338,0.475,2023,NYN,0.813
LF,200,555,70,149,28,2,17,58,59,0,116,20,2,5,0,3,6,18,1,0.268,0.357,0.418,2023,NYN,0.7749999999999999
CF,177,623,100,162,32,7,24,75,82,0,158,11,1,4,0,5,6,6,3,0.26,0.354,0.449,2023,NYN,0.8029999999999999
RF,191,603,71,150,22,2,17,65,41,1,137,23,5,1,1,3,12,26,4,0.249,0.32,0.376,2023,NYN,0.696
DH,209,552,61,120,11,2,27,83,69,1,165,6,1,4,0,3,17,2,1,0.217,0.309,0.391,2023,NYN,0.7
C,201,545,64,121,24,2,17,75,45,0,133,4,3,4,0,10,14,1,2,0.222,0.284,0.367,2024,NYN,0.651
1B,166,616,89,147,31,0,33,87,71,4,175,13,0,4,0,4,14,3,0,0.239,0.328,0.45,2024,NYN,0.778
2B,192,581,74,151,34,0,13,56,44,0,83,14,1,4,0,6,8,10,3,0.26,0.325,0.386,2024,NYN,0.7110000000000001
3B,203,610,81,159,26,1,31,91,47,1,182,5,1,5,0,6,10,2,0,0.261,0.316,0.459,2024,NYN,0.775
SS,174,666,114,184,40,2,36,97,57,0,133,13,0,3,0,4,8,29,5,0.276,0.344,0.505,2024,NYN,0.849
LF,208,618,91,148,31,3,19,84,71,1,166,17,0,3,0,7,6,16,0,0.239,0.333,0.392,2024,NYN,0.7250000000000001
CF,212,565,78,130,27,0,18,68,38,2,142,10,0,6,0,6,9,20,9,0.23,0.288,0.373,2024,NYN,0.661
RF,223,612,83,158,30,6,14,67,45,1,147,6,4,3,0,7,13,18,1,0.258,0.314,0.395,2024,NYN,0.7090000000000001
DH,187,591,67,135,29,1,23,97,83,0,184,8,0,4,4,6,19,2,0,0.228,0.329,0.398,2024,NYN,0.7270000000000001
C,185,545,70,154,36,2,15,76,76,16,93,7,2,1,0,6,15,0,1,0.283,0.377,0.439,2010,PHI,0.8160000000000001
1B,177,632,99,171,28,5,34,122,66,13,170,7,1,3,0,8,16,1,1,0.271,0.345,0.492,2010,PHI,0.837
2B,181,606,93,163,26,4,18,80,74,7,87,18,2,5,0,10,10,15,2,0.269,0.363,0.414,2010,PHI,0.7769999999999999
3B,186,670,85,187,29,2,10,65,41,1,77,7,2,8,0,10,15,7,1,0.279,0.324,0.373,2010,PHI,0.6970000000000001
SS,184,630,72,158,32,4,10,73,54,5,76,3,6,5,0,12,20,22,1,0.251,0.311,0.362,2010,PHI,0.673
LF,170,621,82,172,42,5,21,95,68,12,121,0,0,7,0,6,17,5,3,0.277,0.345,0.462,2010,PHI,0.8069999999999999
CF,168,666,99,183,33,10,21,80,65,6,100,7,0,3,0,4,7,36,7,0.275,0.344,0.449,2010,PHI,0.7929999999999999
RF,181,598,108,167,45,2,28,99,79,6,154,8,0,10,0,8,14,15,3,0.279,0.365,0.502,2010,PHI,0.867
C,184,559,67,143,28,0,7,46,66,12,95,11,4,2,0,8,10,1,0,0.256,0.345,0.343,2011,PHI,0.688
1B,178,620,90,163,35,1,35,124,75,16,180,7,0,5,0,7,11,3,0,0.263,0.347,0.492,2011,PHI,0.839
2B,194,615,77,153,30,8,11,58,50,5,84,16,7,2,0,7,8,18,1,0.249,0.321,0.377,2011,PHI,0.698
3B,172,638,70,170,18,3,8,78,55,0,65,3,2,10,0,10,18,7,2,0.266,0.323,0.342,2011,PHI,0.665
SS,176,662,101,177,30,3,17,73,67,7,75,3,2,5,0,11,15,31,8,0.267,0.335,0.399,2011,PHI,0.734
LF,171,632,77,156,36,1,23,95,47,4,124,2,0,7,0,7,16,4,2,0.247,0.298,0.416,2011,PHI,0.714
CF,174,662,108,174,35,17,22,83,62,2,92,8,6,0,0,7,7,21,3,0.263,0.333,0.467,2011,PHI,0.8
RF,175,598,80,161,29,4,24,86,78,3,106,5,2,5,0,10,12,9,6,0.269,0.356,0.452,2011,PHI,0.808
C,179,583,76,172,46,0,24,95,45,8,98,21,1,6,0,0,12,4,0,0.295,0.363,0.497,2012,PHI,0.86
1B,192,610,71,147,25,0,27,102,57,8,195,4,0,4,0,9,13,2,0,0.241,0.308,0.415,2012,PHI,0.723
2B,182,601,73,153,35,4,17,84,54,8,95,12,3,6,0,2,10,12,3,0.255,0.325,0.411,2012,PHI,0.736
3B,181,624,65,170,32,3,5,42,32,3,77,9,5,5,0,12,13,0,1,0.272,0.315,0.357,2012,PHI,0.6719999999999999
SS,169,664,102,162,33,5,23,68,64,3,102,0,2,3,0,7,13,30,5,0.244,0.309,0.413,2012,PHI,0.722
LF,241,628,89,182,27,8,13,69,44,2,85,5,16,3,0,14,9,33,6,0.29,0.34,0.42,2012,PHI,0.76
CF,173,626,75,168,32,5,16,66,59,2,95,3,5,4,0,8,15,24,4,0.268,0.332,0.412,2012,PHI,0.744
RF,185,618,81,152,27,3,23,81,61,4,136,4,1,5,0,7,19,4,2,0.246,0.315,0.411,2012,PHI,0.726
C,175,571,54,140,26,0,16,71,37,8,101,9,4,4,0,5,25,1,0,0.245,0.3,0.375,2013,PHI,0.675
1B,193,618,72,148,36,2,19,65,49,5,172,6,0,7,0,7,19,0,0,0.239,0.299,0.396,2013,PHI,0.6950000000000001
2B,179,622,83,166,28,6,20,78,53,4,103,9,3,6,0,7,13,10,3,0.267,0.33,0.428,2013,PHI,0.758
3B,175,618,64,165,29,7,14,63,57,7,120,3,0,1,0,6,20,2,0,0.267,0.331,0.405,2013,PHI,0.736
SS,173,638,72,162,37,4,9,49,63,6,100,2,3,3,0,6,14,22,6,0.254,0.322,0.367,2013,PHI,0.6890000000000001
LF,181,612,79,162,27,4,29,87,50,5,130,6,0,4,0,10,7,8,3,0.265,0.324,0.464,2013,PHI,0.788
CF,185,632,80,170,29,3,6,50,34,2,119,4,5,0,0,11,14,24,12,0.269,0.31,0.353,2013,PHI,0.663
RF,219,593,64,144,26,2,22,68,48,2,163,7,1,5,0,6,11,4,2,0.243,0.305,0.405,2013,PHI,0.71
C,171,581,58,142,37,1,7,45,51,1,118,14,3,6,0,7,18,5,2,0.244,0.317,0.348,2014,PHI,0.665
1B,185,623,72,143,24,1,25,100,69,7,199,8,1,6,0,5,11,0,0,0.23,0.312,0.392,2014,PHI,0.704
2B,175,638,77,173,38,6,13,81,55,12,97,13,0,9,0,7,8,10,2,0.271,0.337,0.411,2014,PHI,0.748
3B,190,601,58,138,31,1,12,58,47,6,158,1,5,2,0,5,12,1,3,0.23,0.286,0.344,2014,PHI,0.6299999999999999
SS,175,644,91,156,27,5,20,65,70,2,130,1,4,3,1,12,8,30,6,0.242,0.316,0.393,2014,PHI,0.7090000000000001
LF,200,616,58,139,29,2,11,70,49,4,125,2,0,4,0,10,12,6,2,0.226,0.283,0.333,2014,PHI,0.616
CF,184,699,85,208,19,7,2,36,28,2,71,4,8,1,0,9,11,51,7,0.298,0.328,0.353,2014,PHI,0.681
RF,169,639,79,163,30,4,28,87,40,7,196,9,0,3,0,10,6,2,2,0.255,0.307,0.446,2014,PHI,0.753
C,166,559,47,124,22,2,11,50,52,7,116,7,3,3,0,6,21,1,2,0.222,0.295,0.327,2015,PHI,0.622
1B,191,626,79,151,36,1,33,108,44,3,163,10,0,5,1,3,17,1,0,0.241,0.299,0.46,2015,PHI,0.759
2B,185,647,73,159,30,4,7,59,55,4,128,5,4,8,0,12,17,18,3,0.246,0.306,0.337,2015,PHI,0.643
3B,174,614,72,165,38,4,23,77,53,4,130,5,1,2,0,11,9,3,2,0.269,0.331,0.456,2015,PHI,0.787
SS,171,620,74,166,21,9,7,56,35,1,108,4,7,3,0,7,13,13,3,0.268,0.31,0.365,2015,PHI,0.675
LF,202,642,70,164,36,7,12,62,44,0,134,8,0,3,0,10,10,10,6,0.255,0.31,0.389,2015,PHI,0.6990000000000001
CF,188,655,85,194,37,6,8,56,38,0,148,8,8,1,0,9,6,32,12,0.296,0.342,0.408,2015,PHI,0.75
RF,201,628,68,152,28,4,18,70,36,0,140,4,0,3,0,10,14,7,2,0.242,0.286,0.385,2015,PHI,0.671
C,166,596,57,152,35,1,20,75,51,2,154,9,0,1,0,8,14,5,1,0.255,0.323,0.418,2016,PHI,0.741
1B,215,602,79,140,27,0,43,96,47,2,170,5,0,9,0,6,16,1,3,0.233,0.29,0.492,2016,PHI,0.782
2B,179,619,75,174,16,11,7,43,69,4,128,4,6,2,0,8,8,18,15,0.281,0.356,0.376,2016,PHI,0.732
3B,169,638,74,164,28,2,26,95,44,7,121,8,0,5,0,11,15,2,2,0.257,0.311,0.429,2016,PHI,0.74
SS,173,621,67,155,31,3,22,75,28,6,139,3,8,4,0,5,20,17,6,0.25,0.284,0.415,2016,PHI,0.699
LF,223,576,61,121,26,2,13,55,50,1,144,9,2,3,0,5,8,9,3,0.21,0.282,0.33,2016,PHI,0.612
CF,178,635,91,178,24,7,16,56,70,7,153,8,3,3,0,8,6,28,7,0.28,0.358,0.416,2016,PHI,0.774
RF,205,587,61,137,29,7,8,42,37,4,158,7,6,0,0,14,9,12,7,0.233,0.287,0.348,2016,PHI,0.635
C,169,561,72,139,31,1,22,61,67,8,197,5,0,3,0,7,12,2,0,0.248,0.332,0.424,2017,PHI,0.756
1B,200,636,73,157,35,2,30,98,56,1,163,3,0,4,0,9,26,3,0,0.247,0.309,0.45,2017,PHI,0.759
2B,171,649,94,180,30,6,10,44,75,1,138,4,3,3,0,12,8,19,6,0.277,0.354,0.388,2017,PHI,0.742
3B,178,631,73,141,29,2,24,85,51,3,118,2,0,6,0,3,21,2,0,0.223,0.281,0.39,2017,PHI,0.671
SS,168,633,75,166,30,6,13,64,48,2,120,4,2,4,0,11,12,14,5,0.262,0.316,0.39,2017,PHI,0.706
LF,202,602,87,152,33,3,25,92,80,2,161,13,0,5,0,4,11,7,5,0.252,0.35,0.442,2017,PHI,0.792
CF,182,656,91,178,47,6,18,69,42,5,163,4,0,1,0,5,18,9,6,0.271,0.319,0.444,2017,PHI,0.763
RF,197,645,80,170,28,9,23,93,38,2,178,9,1,4,0,10,13,3,3,0.264,0.312,0.442,2017,PHI,0.754
C,180,572,60,147,29,5,14,63,48,7,207,16,1,2,0,7,5,4,0,0.257,0.331,0.399,2018,PHI,0.73
1B,177,582,84,130,32,2,27,89,108,6,105,2,0,9,0,4,10,3,1,0.223,0.342,0.424,2018,PHI,0.766
2B,174,632,92,159,17,3,15,63,96,4,164,5,1,3,0,8,13,19,6,0.252,0.353,0.359,2018,PHI,0.712
3B,205,616,73,153,25,4,28,89,53,6,115,5,1,4,0,5,16,4,0,0.248,0.311,0.438,2018,PHI,0.749
SS,206,605,81,142,34,3,14,47,35,1,161,5,1,3,1,4,7,8,2,0.235,0.281,0.37,2018,PHI,0.651
LF,186,607,96,149,36,0,38,106,88,2,166,9,0,2,1,6,7,7,3,0.245,0.348,0.493,2018,PHI,0.841
CF,176,634,75,160,24,7,22,76,48,2,150,6,2,1,0,9,12,12,5,0.252,0.311,0.416,2018,PHI,0.727
RF,211,604,74,136,22,4,20,71,71,3,191,12,0,2,0,2,10,10,5,0.225,0.318,0.374,2018,PHI,0.692
C,178,621,99,166,44,3,25,86,57,4,156,8,3,8,1,9,13,9,1,0.267,0.333,0.469,2019,PHI,0.802
1B,169,585,89,131,35,4,31,88,115,6,179,11,0,6,2,8,10,2,2,0.224,0.358,0.456,2019,PHI,0.8140000000000001
2B,170,643,83,181,35,3,14,72,48,4,106,6,0,4,0,7,9,9,2,0.281,0.335,0.411,2019,PHI,0.746
3B,195,589,74,143,35,1,23,72,50,19,119,2,2,4,0,10,18,7,1,0.243,0.302,0.423,2019,PHI,0.725
SS,177,663,95,183,42,5,17,79,45,1,97,9,3,4,0,6,12,11,3,0.276,0.329,0.431,2019,PHI,0.76
LF,205,645,100,170,36,3,40,119,54,0,167,5,0,2,0,6,8,3,1,0.264,0.324,0.515,2019,PHI,0.839
CF,201,617,80,143,31,4,19,73,53,2,190,7,3,1,0,5,8,19,5,0.232,0.299,0.387,2019,PHI,0.6859999999999999
RF,180,612,101,153,36,1,35,114,97,11,192,7,0,4,0,3,11,15,3,0.25,0.357,0.484,2019,PHI,0.841
C,182,603,73,145,27,5,19,79,58,5,168,13,1,2,0,5,9,12,3,0.24,0.32,0.396,2021,PHI,0.716
1B,208,621,100,149,36,2,39,99,71,1,176,6,0,2,0,8,13,4,2,0.24,0.323,0.493,2021,PHI,0.8160000000000001
2B,188,639,93,184,36,3,18,73,53,3,112,11,1,5,0,8,16,9,3,0.288,0.35,0.438,2021,PHI,0.788
3B,189,597,66,145,19,2,14,72,51,2,145,2,2,5,0,7,14,8,2,0.243,0.302,0.352,2021,PHI,0.6539999999999999
SS,181,599,61,138,24,3,19,85,35,1,107,9,2,8,0,5,11,5,0,0.23,0.28,0.376,2021,PHI,0.656
LF,206,591,93,140,30,1,30,96,95,2,153,5,1,9,0,6,11,10,2,0.237,0.343,0.443,2021,PHI,0.786
CF,214,604,77,139,30,7,12,56,50,4,132,10,1,4,2,11,8,11,2,0.23,0.298,0.363,2021,PHI,0.661
RF,192,577,115,167,44,1,40,96,108,16,170,6,3,5,0,6,15,15,4,0.289,0.404,0.577,2021,PHI,0.981
C,175,598,91,165,29,6,27,98,52,1,142,11,1,5,0,9,9,23,1,0.276,0.342,0.48,2022,PHI,0.8220000000000001
1B,178,625,82,149,32,2,30,76,76,0,183,4,0,5,1,7,13,1,1,0.238,0.323,0.44,2022,PHI,0.763
2B,183,586,75,150,17,1,17,65,47,1,104,8,0,1,0,8,19,17,8,0.256,0.319,0.375,2022,PHI,0.694
3B,177,630,80,171,28,4,14,81,31,1,117,7,0,8,0,13,19,3,3,0.271,0.309,0.395,2022,PHI,0.704
SS,181,580,66,136,25,6,12,64,43,0,130,4,2,3,0,6,2,10,3,0.234,0.29,0.36,2022,PHI,0.6499999999999999
LF,199,611,101,132,22,2,46,97,88,3,209,5,0,5,0,4,11,10,2,0.216,0.317,0.484,2022,PHI,0.8009999999999999
CF,201,558,65,135,25,4,10,54,33,0,144,2,2,4,0,8,8,15,2,0.242,0.285,0.355,2022,PHI,0.6399999999999999
RF,202,613,78,156,32,1,18,84,39,0,150,5,0,5,0,4,19,8,0,0.254,0.302,0.398,2022,PHI,0.7
DH,174,617,93,176,40,3,28,89,59,9,164,5,0,8,0,7,14,12,5,0.285,0.348,0.496,2022,PHI,0.844
C,173,595,84,144,31,5,21,75,43,3,165,11,1,5,2,11,10,18,5,0.242,0.303,0.417,2023,PHI,0.72
1B,195,591,84,151,26,1,28,90,62,3,141,6,1,3,0,3,18,5,1,0.255,0.331,0.445,2023,PHI,0.776
2B,169,633,79,174,34,2,15,64,40,1,110,11,1,9,0,7,10,31,3,0.275,0.325,0.406,2023,PHI,0.7310000000000001
3B,202,603,68,145,30,2,17,83,30,1,129,12,2,5,1,4,20,8,3,0.24,0.288,0.381,2023,PHI,0.669
SS,172,666,107,178,38,5,28,81,49,2,155,7,0,1,0,9,16,30,0,0.267,0.324,0.465,2023,PHI,0.789
LF,214,573,100,123,25,1,35,85,107,4,200,4,0,4,0,1,7,4,2,0.215,0.34,0.445,2023,PHI,0.785
CF,193,548,73,149,36,8,11,75,54,2,176,7,8,3,0,8,6,17,4,0.272,0.343,0.427,2023,PHI,0.77
RF,175,645,75,168,36,3,29,104,46,0,191,3,0,7,0,6,16,13,3,0.26,0.31,0.46,2023,PHI,0.77
DH,169,606,107,167,33,1,32,102,96,6,184,7,0,4,0,1,6,8,5,0.276,0.379,0.492,2023,PHI,0.871
C,171,600,76,150,26,2,18,64,47,1,162,10,1,2,1,9,9,7,2,0.25,0.314,0.39,2024,PHI,0.704
1B,174,629,88,180,51,0,32,99,76,10,150,3,1,2,0,3,19,6,5,0.286,0.365,0.52,2024,PHI,0.885
2B,185,587,76,150,26,2,16,65,54,1,109,3,0,8,0,9,10,35,4,0.256,0.317,0.388,2024,PHI,0.7050000000000001
3B,182,620,75,160,44,3,17,100,47,2,109,9,2,5,0,6,19,6,1,0.258,0.317,0.421,2024,PHI,0.738
SS,180,657,110,186,30,4,25,91,40,0,132,10,0,4,1,10,12,27,4,0.283,0.332,0.455,2024,PHI,0.787
LF,209,570,73,143,23,4,17,65,51,0,170,5,1,6,0,4,6,19,4,0.251,0.315,0.395,2024,PHI,0.71
